"PERIODO","ANO","MES","SEMANA","DIA","HOJE","PONTO","ACESSO","FERIAS","AFASTADO","ADMITIDO","DEMITIDO","PONTO_BATIDAS","ACESSO_BATIDAS","REF_EXE_BATIDAS","REF_FUNC_BATIDAS","EXTRA","EXTERNO","ATRASO","CUSTO","TOTAL_FUNCIONARIOS","TOTAL_TRABALHANDO","MIN_DEMITIDO","MIN_EXTERNO","MIN_ATRASO","TOTAL_ATIVOS"
"03/11/2015","2015","11/2015", "3  Semana" ,"03/11","N","4965","0","0","94","0","88","5537","4097","779","2032","674","710","229","4096","3584","0","-88","-710","-229","3502"
"15/02/2016","2016","02/2016", "2  Semana" ,"15/02","N","4913","0","52","79","9","58","5618","4706","628","0","904","1189","163","4310","3644","0","-58","-1189","-163","3502"
"23/09/2015","2015","09/2015", "4  Semana" ,"23/09","N","5561","0","0","2","0","53","6786","2725","663","1395","715","453","165","3651","3737","0","-53","-453","-165","3502"
"01/08/2015","2015","08/2015", "7  Semana" ,"01/08","N","849","0","0","14","0","48","2446","0","0","0","1734","0","31","14372","3727","0","-48","0","-31","3502"
"12/07/2015","2015","07/2015", "1  Semana" ,"12/07","N","26","0","0","24","0","45","255","64","0","0","9","0","0","96","3714","0","-45","0","0","3502"
"08/07/2015","2015","07/2015", "4  Semana" ,"08/07","N","2214","0","0","49","0","41","5169","2382","698","1606","749","83","0","6708","3673","0","-41","-83","0","3502"
"11/01/2016","2016","01/2016", "2  Semana" ,"11/01","N","4094","0","136","58","0","32","4697","4519","4","65","642","812","204","3300","3572","0","-32","-812","-204","3502"
"10/09/2015","2015","09/2015", "5  Semana" ,"10/09","N","5822","0","0","43","0","32","7097","3301","815","1613","561","515","153","3187","3739","0","-32","-515","-153","3502"
"07/10/2015","2015","10/2015", "4  Semana" ,"07/10","N","2507","0","0","43","0","30","2602","3333","683","1812","268","546","70","2137","3623","0","-30","-546","-70","3502"
"02/07/2015","2015","07/2015", "5  Semana" ,"02/07","N","2422","0","0","45","0","29","5478","2077","913","1405","651","94","0","5909","3601","0","-29","-94","0","3502"
"11/09/2015","2015","09/2015", "6  Semana" ,"11/09","N","5527","0","0","38","0","26","6733","2589","845","1580","580","363","143","3690","3752","0","-26","-363","-143","3502"
"09/11/2015","2015","11/2015", "2  Semana" ,"09/11","N","1250","0","28","33","0","22","1272","3974","774","1692","168","543","7","1215","3621","0","-22","-543","-7","3502"
"12/08/2015","2015","08/2015", "4  Semana" ,"12/08","N","2652","0","0","40","0","21","5578","0","0","803","581","0","183","5881","3727","0","-21","0","-183","3502"
"05/08/2015","2015","08/2015", "4  Semana" ,"05/08","N","2653","0","27","37","0","17","5772","0","0","0","717","0","248","6691","3727","0","-17","0","-248","3502"
"09/07/2015","2015","07/2015", "5  Semana" ,"09/07","N","2481","0","0","30","0","15","5554","2483","709","1476","735","81","0","6499","3673","0","-15","-81","0","3502"
"16/07/2015","2015","07/2015", "5  Semana" ,"16/07","N","2641","0","0","34","0","14","5736","2399","676","1410","653","97","0","6025","3717","0","-14","-97","0","3502"
"17/09/2015","2015","09/2015", "5  Semana" ,"17/09","N","5531","0","0","28","0","10","6712","3185","674","1508","554","473","100","3094","3752","0","-10","-473","-100","3502"
"13/08/2015","2015","08/2015", "5  Semana" ,"13/08","N","2560","0","0","22","0","10","5446","0","1","887","564","0","87","5803","3727","0","-10","0","-87","3502"
"10/11/2015","2015","11/2015", "3  Semana" ,"10/11","N","1830","0","0","22","0","10","1848","4102","736","2045","176","952","12","1759","3622","0","-10","-952","-12","3502"
"16/09/2015","2015","09/2015", "4  Semana" ,"16/09","N","5764","0","0","24","0","9","7051","2892","690","1535","712","340","175","3965","3752","0","-9","-340","-175","3502"
"04/11/2015","2015","11/2015", "4  Semana" ,"04/11","N","5820","0","0","16","25","8","7064","4109","776","2318","685","1052","125","3358","3608","0","-8","-1052","-125","3502"
"01/10/2015","2015","10/2015", "5  Semana" ,"01/10","N","5541","0","0","32","0","7","6786","3737","684","2053","607","744","197","3496","3598","0","-7","-744","-197","3502"
"13/10/2015","2015","10/2015", "3  Semana" ,"13/10","N","5120","0","34","37","36","6","5699","3587","700","2272","794","639","270","4084","3659","0","-6","-639","-270","3502"
"08/10/2015","2015","10/2015", "5  Semana" ,"08/10","N","2151","0","0","19","0","6","2174","3725","650","1807","144","502","15","1150","3623","0","-6","-502","-15","3502"
"01/07/2015","2015","07/2015", "4  Semana" ,"01/07","N","2538","0","0","32","0","6","5595","2132","27","1413","624","146","0","5947","3601","0","-6","-146","0","3502"
"15/07/2015","2015","07/2015", "4  Semana" ,"15/07","N","5248","0","0","28","0","5","11465","2421","666","1446","674","210","0","6040","3717","0","-5","-210","0","3502"
